name,id,nametype,recclass,mass,year,reclat,reclong
Chernyi Bor,5339,Valid,H4,6000,1964-01-01T00:00:00.000,53.700000,30.100000
Cherokee Springs,5340,Valid,LL6,8400,1933-01-01T00:00:00.000,35.033330,-81.883330
Chervettaz,5341,Valid,L5,705,1901-01-01T00:00:00.000,46.550000,6.816670
Chervony Kut,5342,Valid,Eucrite-mmict,1700,1939-01-01T00:00:00.000,50.833330,34.000000
Chetrinahatti,5344,Valid,Stone-uncl,72,1880-01-01T00:00:00.000,14.500000,76.500000
Chiang Khan,5345,Valid,H6,367,1981-01-01T00:00:00.000,17.900000,101.633330
Chicora,5349,Valid,LL6,303,1938-01-01T00:00:00.000,40.933330,-79.733330
Chisenga,5355,Valid,"Iron, IIIAB",3920,1988-01-01T00:00:00.000,-10.059440,33.395000
Chitado,5356,Valid,L6,,1966-01-01T00:00:00.000,-17.350000,13.966670
Chitenay,5357,Valid,L6,4000,1978-01-01T00:00:00.000,47.470830,0.976670
Cilimus,5364,Valid,L5,1600,1979-01-01T00:00:00.000,-6.950000,108.100000
Claxton,5374,Valid,L6,1455,1984-01-01T00:00:00.000,32.102500,-81.872780
Clohars,5383,Valid,L4,48.6,1822-01-01T00:00:00.000,,
Colby (Wisconsin),5395,Valid,L6,104000,1917-01-01T00:00:00.000,44.900000,-90.283330
Cold Bokkeveld,5397,Valid,CM2,5200,1838-01-01T00:00:00.000,-33.133330,19.383330
Coleman,5401,Valid,L6,469,1994-01-01T00:00:00.000,43.761110,-84.507780
Collescipoli,5403,Valid,H5,5000,1890-01-01T00:00:00.000,42.533330,12.616670
Conquista,5418,Valid,H4,20350,1965-01-01T00:00:00.000,-19.850000,-47.550000
Cosina,5451,Valid,H5,1200,1844-01-01T00:00:00.000,21.166670,-100.866670
Cranganore,5465,Valid,L6,1460,1917-01-01T00:00:00.000,10.200000,76.266670
Crescent,5470,Valid,CM2,78.400000000000006,1936-01-01T00:00:00.000,35.950000,-97.583330
Cronstad,5474,Valid,H5,3650,1877-01-01T00:00:00.000,-27.700000,27.300000
Cross Roads,5476,Valid,H5,167,1892-01-01T00:00:00.000,35.633330,-78.133330
Crumlin,5477,Valid,L5,4255,1902-01-01T00:00:00.000,54.616670,-6.216670
Cumberland Falls,5496,Valid,Aubrite,17000,1919-01-01T00:00:00.000,36.833330,-84.350000
Cynthiana,5500,Valid,L/LL4,6000,1877-01-01T00:00:00.000,38.400000,-84.250000
Dahmani,5504,Valid,LL6,18000,1981-01-01T00:00:00.000,35.616670,8.833330
Dandapur,5511,Valid,L6,5650,1878-01-01T00:00:00.000,26.916670,83.966670
Daniel's Kuil,5513,Valid,EL6,1064,1868-01-01T00:00:00.000,-28.200000,24.566670
Danville,5514,Valid,L6,2000,1868-01-01T00:00:00.000,34.400000,-87.066670
Darmstadt,6603,Valid,H5,100,1804-01-01T00:00:00.000,49.866670,8.650000
Dashoguz,6604,Valid,H5,7000,1998-01-01T00:00:00.000,41.984440,59.685000
Daule,51559,Valid,L5,6580,2008-01-01T00:00:00.000,-1.870890,-79.957560
De Cewsville,6621,Valid,H6,340,1887-01-01T00:00:00.000,43.000000,-80.000000
Deal,6634,Valid,L6,28,1829-01-01T00:00:00.000,40.250000,-74.000000
Delhi,6642,Valid,L5,0.8,1897-01-01T00:00:00.000,28.566670,77.250000
Demina,6649,Valid,L6,16400,1911-01-01T00:00:00.000,51.466670,84.766670
Denver,6660,Valid,L6,230,1967-01-01T00:00:00.000,39.782500,-104.930560
Dergaon,6664,Valid,H5,12500,2001-01-01T00:00:00.000,26.683330,93.866670
Desuri,6693,Valid,H6,25400,1962-01-01T00:00:00.000,25.733330,73.616670
Devgaon,6694,Valid,H3.8,12000,2001-01-01T00:00:00.000,19.000000,81.000000
Devri-Khera,6696,Valid,L6,1140,1994-01-01T00:00:00.000,24.225000,76.525000
Dhajala,6698,Valid,H3.8,45000,1976-01-01T00:00:00.000,22.377780,71.427220
Dharwar,6699,Valid,OC,1800,1848-01-01T00:00:00.000,14.883330,75.600000
Dhurmsala,7640,Valid,LL6,32000,1860-01-01T00:00:00.000,32.233330,76.466670
Didim,47350,Valid,H3-5,3396,2007-01-01T00:00:00.000,37.351720,27.329970
Diep River,7642,Valid,L6,1000,1906-01-01T00:00:00.000,-33.750000,18.566670
Distrito Quebracho,7649,Valid,H4,400,1957-01-01T00:00:00.000,-31.883330,-60.466670
Djati-Pengilon,7652,Valid,H6,166000,1884-01-01T00:00:00.000,-7.500000,111.500000
Djermaia,7656,Valid,H,3950,1961-01-01T00:00:00.000,12.733330,15.050000
Djoumine,7657,Valid,H5-6,10000,1999-01-01T00:00:00.000,36.950000,9.550000
Dokachi,7658,Valid,H5,3840,1903-01-01T00:00:00.000,23.500000,90.333330
Dolgovoli,7659,Valid,L6,1600,1864-01-01T00:00:00.000,50.750000,25.300000
Domanitch,7661,Valid,L5,438,1907-01-01T00:00:00.000,40.000000,29.000000
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,1995-01-01T00:00:00.000,45.500000,119.033330
Donga Kohrod,7707,Valid,H6,230,1899-01-01T00:00:00.000,21.866670,82.450000
Dongtai,7708,Valid,LL6,5500,1970-01-01T00:00:00.000,32.916670,120.783330
Doroninsk,7718,Valid,H5-7,3891,1805-01-01T00:00:00.000,51.200000,112.300000
Dosso,7722,Valid,L6,1250,1962-01-01T00:00:00.000,13.050000,3.166670
Douar Mghila,7723,Valid,LL6,1161,1932-01-01T00:00:00.000,32.333330,-6.300000
Dowa,7725,Valid,Stone-uncl,642,1976-01-01T00:00:00.000,-13.666670,33.916670
Drake Creek,7728,Valid,L6,5000,1827-01-01T00:00:00.000,36.400000,-86.500000
Dresden (Ontario),7731,Valid,H6,47700,1939-01-01T00:00:00.000,42.520000,-82.260000
Dubrovnik,7736,Valid,L3-6,1900,1951-01-01T00:00:00.000,42.458330,18.441670
Dunbogan,7743,Valid,L6,30,1999-01-01T00:00:00.000,-31.666670,152.833330
Dundrum,7745,Valid,H5,2270,1865-01-01T00:00:00.000,52.550000,-8.033330
Dunhua,7749,Valid,Stone-uncl,,1976-01-01T00:00:00.000,43.333330,128.250000
Durala,7750,Valid,L6,13200,1815-01-01T00:00:00.000,30.300000,76.633330
Duruma,7752,Valid,L6,577,1853-01-01T00:00:00.000,-4.000000,39.500000
Duwun,7754,Valid,L6,2117,1943-01-01T00:00:00.000,33.433330,127.266670
Dwaleni,7755,Valid,H4-6,3230,1970-01-01T00:00:00.000,-27.200000,31.316670
Dyalpur,7757,Valid,Ureilite,300,1872-01-01T00:00:00.000,26.250000,82.000000
Dyarrl Island,7758,Valid,Mesosiderite-A1,188,1933-01-01T00:00:00.000,-3.000000,151.000000
Eagle,7760,Valid,EL6,10000,1947-01-01T00:00:00.000,40.781670,-96.471670
Ehole,7774,Valid,H5,2400,1961-01-01T00:00:00.000,-17.300000,15.833330
Eichstädt,7775,Valid,H5,3000,1785-01-01T00:00:00.000,48.900000,11.216670
Ekeby,7776,Valid,H4,3336,1939-01-01T00:00:00.000,56.033330,13.000000
Ekh Khera,7777,Valid,H6,840,1916-01-01T00:00:00.000,28.266670,78.783330
El Idrissia,7807,Valid,L6,10000,1989-01-01T00:00:00.000,34.416670,3.250000
El Paso de Aguila,45977,Valid,H5,17226,1977-01-01T00:00:00.000,25.370000,-97.370000
El Tigre,7819,Valid,L6,5000,1993-01-01T00:00:00.000,19.967220,-103.051670
Elbert,7822,Valid,LL6,680.5,1998-01-01T00:00:00.000,39.246670,-104.588170
Elbogen,7823,Valid,"Iron, IID",107000,1400-01-01T00:00:00.000,50.183330,12.733330
